Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
01/06/2023 23:45,Manchester United,Mars,Roma,Magdy,2,1,ENDED
01/06/2023 23:45,Ajax Amsterdam,Raul,Fenerbahce Istanbul,Rocky,0,5,ENDED
01/06/2023 23:30,Manchester United,Mars,Sevilla,Pontiac,3,2,ENDED
01/06/2023 23:30,Roma,Magdy,Fenerbahce Istanbul,Rocky,1,1,ENDED
01/06/2023 23:15,Ajax Amsterdam,Raul,Manchester United,Mars,2,2,ENDED
01/06/2023 23:15,Roma,Magdy,Sevilla,Pontiac,1,1,ENDED
01/06/2023 23:00,Ajax Amsterdam,Raul,Roma,Magdy,0,5,ENDED
01/06/2023 23:00,Fenerbahce Istanbul,Rocky,Sevilla,Pontiac,0,1,ENDED
01/06/2023 22:45,Ajax Amsterdam,Raul,Sevilla,Pontiac,3,2,ENDED
01/06/2023 22:45,Fenerbahce Istanbul,Rocky,Manchester United,Mars,1,5,ENDED
01/06/2023 22:30,Roma,Magdy,Manchester United,Mars,3,0,ENDED
01/06/2023 22:30,Fenerbahce Istanbul,Rocky,Ajax Amsterdam,Raul,3,1,ENDED
01/06/2023 22:15,Sevilla,Pontiac,Manchester United,Mars,3,3,ENDED
01/06/2023 22:15,Fenerbahce Istanbul,Rocky,Roma,Magdy,4,5,ENDED
01/06/2023 22:00,Manchester United,Mars,Ajax Amsterdam,Raul,3,2,ENDED
01/06/2023 22:00,Sevilla,Pontiac,Roma,Magdy,1,4,ENDED
01/06/2023 21:30,Lazio,Gorilla,Inter Milan,aibothard,5,3,ENDED
01/06/2023 21:30,SSC Napoli,General,Juventus Turin,Spencer,2,2,ENDED
01/06/2023 21:15,SSC Napoli,General,Inter Milan,aibothard,3,4,ENDED
01/06/2023 21:15,AC Milan,Pipis,Juventus Turin,Spencer,1,3,ENDED
01/06/2023 21:00,AC Milan,Pipis,Lazio,Gorilla,4,4,ENDED
01/06/2023 21:00,Inter Milan,aibothard,Juventus Turin,Spencer,3,3,ENDED
01/06/2023 20:45,AC Milan,Pipis,SSC Napoli,General,6,1,ENDED
01/06/2023 20:45,Lazio,Gorilla,Juventus Turin,Spencer,1,3,ENDED
01/06/2023 20:30,Inter Milan,aibothard,AC Milan,Pipis,2,3,ENDED
01/06/2023 20:30,Lazio,Gorilla,SSC Napoli,General,2,3,ENDED
01/06/2023 20:15,Inter Milan,aibothard,Lazio,Gorilla,5,4,ENDED
