Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
06/05/2023 23:45,Fenerbahce Istanbul,Seagal,Leverkusen,Rocky,6,3,ENDED
06/05/2023 23:45,Sevilla,Mars,Juventus Turin,Pontiac,1,2,ENDED
06/05/2023 23:30,Fenerbahce Istanbul,Seagal,Manchester United,Nasmi,1,2,ENDED
06/05/2023 23:30,Leverkusen,Rocky,Juventus Turin,Pontiac,1,2,ENDED
06/05/2023 23:15,Sevilla,Mars,Fenerbahce Istanbul,Seagal,5,3,ENDED
06/05/2023 23:15,Leverkusen,Rocky,Manchester United,Nasmi,2,5,ENDED
06/05/2023 23:00,Sevilla,Mars,Leverkusen,Rocky,2,0,ENDED
06/05/2023 23:00,Juventus Turin,Pontiac,Manchester United,Nasmi,3,3,ENDED
06/05/2023 22:45,Sevilla,Mars,Manchester United,Nasmi,2,1,ENDED
06/05/2023 22:45,Juventus Turin,Pontiac,Fenerbahce Istanbul,Seagal,4,4,ENDED
06/05/2023 22:30,Leverkusen,Rocky,Fenerbahce Istanbul,Seagal,2,3,ENDED
06/05/2023 22:30,Juventus Turin,Pontiac,Sevilla,Mars,4,3,ENDED
06/05/2023 22:15,Manchester United,Nasmi,Fenerbahce Istanbul,Seagal,0,2,ENDED
06/05/2023 22:15,Juventus Turin,Pontiac,Leverkusen,Rocky,3,0,ENDED
06/05/2023 22:00,Fenerbahce Istanbul,Seagal,Sevilla,Mars,3,4,ENDED
06/05/2023 22:00,Manchester United,Nasmi,Leverkusen,Rocky,3,0,ENDED
06/05/2023 21:30,Leverkusen,Carnage,Sevilla,Spex,2,1,ENDED
06/05/2023 21:30,Manchester United,Rafa,Juventus Turin,tommy,1,4,ENDED
06/05/2023 21:15,Manchester United,Rafa,Sevilla,Spex,0,1,ENDED
06/05/2023 21:15,Fenerbahce Istanbul,Lio,Juventus Turin,tommy,5,3,ENDED
06/05/2023 21:00,Fenerbahce Istanbul,Lio,Leverkusen,Carnage,2,0,ENDED
06/05/2023 21:00,Sevilla,Spex,Juventus Turin,tommy,2,5,ENDED
06/05/2023 20:45,Fenerbahce Istanbul,Lio,Manchester United,Rafa,4,4,ENDED
06/05/2023 20:45,Leverkusen,Carnage,Juventus Turin,tommy,1,1,ENDED
06/05/2023 20:30,Sevilla,Spex,Fenerbahce Istanbul,Lio,2,2,ENDED
06/05/2023 20:30,Leverkusen,Carnage,Manchester United,Rafa,2,3,ENDED
06/05/2023 20:15,Sevilla,Spex,Leverkusen,Carnage,1,1,ENDED
06/05/2023 20:15,Juventus Turin,tommy,Manchester United,Rafa,3,5,ENDED
06/05/2023 20:00,Sevilla,Spex,Manchester United,Rafa,2,1,ENDED
06/05/2023 20:00,Juventus Turin,tommy,Fenerbahce Istanbul,Lio,1,3,ENDED
06/05/2023 19:45,Leverkusen,Carnage,Fenerbahce Istanbul,Lio,3,2,ENDED
06/05/2023 19:45,Juventus Turin,tommy,Sevilla,Spex,1,5,ENDED
06/05/2023 19:30,Manchester United,Rafa,Fenerbahce Istanbul,Lio,3,3,ENDED
06/05/2023 19:30,Juventus Turin,tommy,Leverkusen,Carnage,2,1,ENDED
06/05/2023 19:15,Fenerbahce Istanbul,Lio,Sevilla,Spex,3,2,ENDED
06/05/2023 19:15,Manchester United,Rafa,Leverkusen,Carnage,2,1,ENDED
06/05/2023 19:00,Real Betis,Carnage,Real Sociedad,Spex,1,1,ENDED
06/05/2023 19:00,Atletico Madrid,Rafa,FC Barcelona,tommy,3,2,ENDED
06/05/2023 18:45,Atletico Madrid,Rafa,Real Sociedad,Spex,2,4,ENDED
06/05/2023 18:45,Real Madrid,Lio,FC Barcelona,tommy,1,2,ENDED
06/05/2023 18:30,Real Madrid,Lio,Real Betis,Carnage,2,1,ENDED
06/05/2023 18:30,Real Sociedad,Spex,FC Barcelona,tommy,1,1,ENDED
06/05/2023 18:15,Real Madrid,Lio,Atletico Madrid,Rafa,2,4,ENDED
06/05/2023 18:15,Real Betis,Carnage,FC Barcelona,tommy,4,1,ENDED
06/05/2023 18:00,Real Sociedad,Spex,Real Madrid,Lio,1,2,ENDED
