Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
07/12/2022 23:45,Inter Milan,Nio,SSC Napoli,Ray,1,1,ENDED
07/12/2022 23:45,Juventus Turin,Nasmi,AC Milan,Cliff,0,0,ENDED
07/12/2022 23:30,Lazio,Mars,AC Milan,Cliff,0,1,ENDED
07/12/2022 23:30,Juventus Turin,Nasmi,Inter Milan,Nio,1,3,ENDED
07/12/2022 23:15,SSC Napoli,Ray,AC Milan,Cliff,3,1,ENDED
07/12/2022 23:15,Juventus Turin,Nasmi,Lazio,Mars,2,2,ENDED
07/12/2022 23:00,AC Milan,Cliff,Inter Milan,Nio,1,2,ENDED
07/12/2022 23:00,SSC Napoli,Ray,Lazio,Mars,1,0,ENDED
07/12/2022 22:15,Athletic Bilbao,Mad,Atletico Madrid,Nero,4,2,ENDED
07/12/2022 22:15,Real Madrid,Carnage,Real Sociedad,billiot,3,0,ENDED
07/12/2022 22:00,Real Madrid,Carnage,Atletico Madrid,Nero,1,2,ENDED
07/12/2022 22:00,FC Barcelona,Brand,Real Sociedad,billiot,5,2,ENDED
07/12/2022 21:45,FC Barcelona,Brand,Athletic Bilbao,Mad,2,4,ENDED
07/12/2022 21:45,Atletico Madrid,Nero,Real Sociedad,billiot,3,2,ENDED
07/12/2022 21:30,FC Barcelona,Brand,Real Madrid,Carnage,2,3,ENDED
07/12/2022 21:30,Athletic Bilbao,Mad,Real Sociedad,billiot,4,1,ENDED
07/12/2022 21:15,Atletico Madrid,Nero,FC Barcelona,Brand,5,6,ENDED
07/12/2022 21:15,Athletic Bilbao,Mad,Real Madrid,Carnage,0,3,ENDED
07/12/2022 21:00,Atletico Madrid,Nero,Athletic Bilbao,Mad,1,1,ENDED
07/12/2022 21:00,Real Sociedad,billiot,Real Madrid,Carnage,2,3,ENDED
07/12/2022 20:45,Atletico Madrid,Nero,Real Madrid,Carnage,2,4,ENDED
07/12/2022 20:45,Real Sociedad,billiot,FC Barcelona,Brand,2,4,ENDED
07/12/2022 20:30,Athletic Bilbao,Mad,FC Barcelona,Brand,2,1,ENDED
07/12/2022 20:30,Real Sociedad,billiot,Atletico Madrid,Nero,3,2,ENDED
07/12/2022 20:15,Real Madrid,Carnage,FC Barcelona,Brand,2,3,ENDED
07/12/2022 20:15,Real Sociedad,billiot,Athletic Bilbao,Mad,0,1,ENDED
07/12/2022 20:00,FC Barcelona,Brand,Atletico Madrid,Nero,4,5,ENDED
07/12/2022 20:00,Real Madrid,Carnage,Athletic Bilbao,Mad,1,1,ENDED
07/12/2022 19:45,FC Porto,Mad,Tottenham,Nero,5,1,ENDED
07/12/2022 19:45,Borussia Dortmund,Carnage,Chelsea,billiot,1,1,ENDED
07/12/2022 19:30,Borussia Dortmund,Carnage,Tottenham,Nero,5,1,ENDED
07/12/2022 19:30,SSC Napoli,Brand,Chelsea,billiot,3,4,ENDED
07/12/2022 19:15,SSC Napoli,Brand,FC Porto,Mad,2,5,ENDED
07/12/2022 19:15,Tottenham,Nero,Chelsea,billiot,2,0,ENDED
07/12/2022 19:00,SSC Napoli,Brand,Borussia Dortmund,Carnage,2,1,ENDED
07/12/2022 19:00,FC Porto,Mad,Chelsea,billiot,2,1,ENDED
07/12/2022 18:45,Tottenham,Nero,SSC Napoli,Brand,4,1,ENDED
07/12/2022 18:45,FC Porto,Mad,Borussia Dortmund,Carnage,1,3,ENDED
07/12/2022 18:30,Tottenham,Nero,FC Porto,Mad,4,3,ENDED
07/12/2022 18:30,Chelsea,billiot,Borussia Dortmund,Carnage,1,4,ENDED
07/12/2022 18:15,Tottenham,Nero,Borussia Dortmund,Carnage,3,1,ENDED
07/12/2022 18:15,Chelsea,billiot,SSC Napoli,Brand,2,3,ENDED
07/12/2022 18:00,FC Porto,Mad,SSC Napoli,Brand,2,4,ENDED
07/12/2022 18:00,Chelsea,billiot,Tottenham,Nero,3,2,ENDED
07/12/2022 17:45,Borussia Dortmund,Carnage,SSC Napoli,Brand,3,3,ENDED
07/12/2022 17:45,Chelsea,billiot,FC Porto,Mad,4,3,ENDED
07/12/2022 17:30,SSC Napoli,Brand,Tottenham,Nero,4,4,ENDED
07/12/2022 17:30,Borussia Dortmund,Carnage,FC Porto,Mad,1,2,ENDED
07/12/2022 17:15,Borussia Dortmund,Mad,Eintracht Frankfurt,Nero,0,0,ENDED
07/12/2022 17:15,Bayern München,Carnage,Leipzig,billiot,3,1,ENDED
07/12/2022 17:00,Bayern München,Carnage,Eintracht Frankfurt,Nero,3,0,ENDED
07/12/2022 17:00,S.C Freiburg,Brand,Leipzig,billiot,2,3,ENDED
07/12/2022 16:45,S.C Freiburg,Brand,Borussia Dortmund,Mad,0,2,ENDED
07/12/2022 16:45,Eintracht Frankfurt,Nero,Leipzig,billiot,0,3,ENDED
07/12/2022 16:30,S.C Freiburg,Brand,Bayern München,Carnage,3,2,ENDED
07/12/2022 16:30,Borussia Dortmund,Mad,Leipzig,billiot,1,0,ENDED
07/12/2022 16:15,Eintracht Frankfurt,Nero,S.C Freiburg,Brand,3,1,ENDED
07/12/2022 16:15,Borussia Dortmund,Mad,Bayern München,Carnage,2,2,ENDED
07/12/2022 16:00,Eintracht Frankfurt,Nero,Borussia Dortmund,Mad,2,3,ENDED
07/12/2022 16:00,Leipzig,billiot,Bayern München,Carnage,3,2,ENDED
07/12/2022 15:45,Eintracht Frankfurt,Nero,Bayern München,Carnage,1,4,ENDED
07/12/2022 15:45,Leipzig,billiot,S.C Freiburg,Brand,2,3,ENDED
07/12/2022 15:30,Borussia Dortmund,Mad,S.C Freiburg,Brand,1,3,ENDED
07/12/2022 15:30,Leipzig,billiot,Eintracht Frankfurt,Nero,2,4,ENDED
07/12/2022 15:15,Bayern München,Carnage,S.C Freiburg,Brand,3,2,ENDED
07/12/2022 15:15,Leipzig,billiot,Borussia Dortmund,Mad,0,0,ENDED
07/12/2022 15:00,S.C Freiburg,Brand,Eintracht Frankfurt,Nero,4,2,ENDED
07/12/2022 15:00,Bayern München,Carnage,Borussia Dortmund,Mad,3,3,ENDED
07/12/2022 14:15,Tottenham,Rafa,Manchester United,val,1,2,ENDED
07/12/2022 14:15,Arsenal,Pipis,Newcastle Utd,General,3,2,ENDED
07/12/2022 14:00,Arsenal,Pipis,Manchester United,val,2,1,ENDED
07/12/2022 14:00,Manchester City,tommy,Newcastle Utd,General,2,3,ENDED
07/12/2022 13:45,Manchester City,tommy,Tottenham,Rafa,1,2,ENDED
07/12/2022 13:45,Manchester United,val,Newcastle Utd,General,1,2,ENDED
07/12/2022 13:30,Manchester City,tommy,Arsenal,Pipis,3,2,ENDED
