Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
07/03/2023 23:45,Liverpool,General,PSG,Tyson,7,2,ENDED
07/03/2023 23:45,Bayern München,JohnyBeGood,Manchester City,Gorilla,3,0,ENDED
07/03/2023 23:30,Real Madrid,Brand,Manchester City,Gorilla,3,2,ENDED
07/03/2023 23:30,Bayern München,JohnyBeGood,Liverpool,General,3,1,ENDED
07/03/2023 23:15,PSG,Tyson,Manchester City,Gorilla,3,4,ENDED
07/03/2023 23:15,Bayern München,JohnyBeGood,Real Madrid,Brand,3,3,ENDED
07/03/2023 23:00,Manchester City,Gorilla,Liverpool,General,2,4,ENDED
07/03/2023 23:00,PSG,Tyson,Real Madrid,Brand,4,6,ENDED
07/03/2023 22:30,Leipzig,Danny,Inter Milan,Nazario,5,0,ENDED
07/03/2023 22:30,Eintracht Frankfurt,Mad,Benfica Lisbon,Cantona,4,1,ENDED
07/03/2023 22:15,Eintracht Frankfurt,Mad,Inter Milan,Nazario,6,3,ENDED
07/03/2023 22:15,AC Milan,Nasmi,Benfica Lisbon,Cantona,4,2,ENDED
07/03/2023 22:00,AC Milan,Nasmi,Leipzig,Danny,1,2,ENDED
07/03/2023 22:00,Inter Milan,Nazario,Benfica Lisbon,Cantona,3,1,ENDED
07/03/2023 21:45,AC Milan,Nasmi,Eintracht Frankfurt,Mad,2,5,ENDED
07/03/2023 21:45,Leipzig,Danny,Benfica Lisbon,Cantona,2,0,ENDED
07/03/2023 21:30,Inter Milan,Nazario,AC Milan,Nasmi,4,4,ENDED
07/03/2023 21:30,Leipzig,Danny,Eintracht Frankfurt,Mad,1,5,ENDED
07/03/2023 21:15,Inter Milan,Nazario,Leipzig,Danny,2,3,ENDED
07/03/2023 21:15,Benfica Lisbon,Cantona,Eintracht Frankfurt,Mad,0,2,ENDED
07/03/2023 21:00,Inter Milan,Nazario,Eintracht Frankfurt,Mad,3,6,ENDED
07/03/2023 21:00,Benfica Lisbon,Cantona,AC Milan,Nasmi,3,3,ENDED
07/03/2023 20:45,Leipzig,Danny,AC Milan,Nasmi,3,1,ENDED
07/03/2023 20:45,Benfica Lisbon,Cantona,Inter Milan,Nazario,3,1,ENDED
07/03/2023 20:30,Eintracht Frankfurt,Mad,AC Milan,Nasmi,6,5,ENDED
07/03/2023 20:30,Benfica Lisbon,Cantona,Leipzig,Danny,1,4,ENDED
07/03/2023 20:15,AC Milan,Nasmi,Inter Milan,Nazario,4,4,ENDED
07/03/2023 20:15,Eintracht Frankfurt,Mad,Leipzig,Danny,2,0,ENDED
07/03/2023 20:00,Leipzig,Danny,Borussia Dortmund,Nazario,4,2,ENDED
07/03/2023 20:00,Union Berlin,Mad,S.C Freiburg,Cantona,4,1,ENDED
07/03/2023 19:45,Union Berlin,Mad,Borussia Dortmund,Nazario,4,1,ENDED
07/03/2023 19:45,Bayern München,Nasmi,S.C Freiburg,Cantona,0,4,ENDED
07/03/2023 19:30,Bayern München,Nasmi,Leipzig,Danny,0,1,ENDED
07/03/2023 19:30,Borussia Dortmund,Nazario,S.C Freiburg,Cantona,4,2,ENDED
07/03/2023 19:15,Bayern München,Nasmi,Union Berlin,Mad,1,2,ENDED
07/03/2023 19:15,Leipzig,Danny,S.C Freiburg,Cantona,5,0,ENDED
07/03/2023 19:00,Borussia Dortmund,Nazario,Bayern München,Nasmi,3,1,ENDED
07/03/2023 19:00,Leipzig,Danny,Union Berlin,Mad,2,4,ENDED
07/03/2023 18:30,Borussia Dortmund,Nazario,Leipzig,Danny,0,3,ENDED
07/03/2023 18:30,S.C Freiburg,Cantona,Union Berlin,Mad,6,1,ENDED
07/03/2023 18:15,Borussia Dortmund,Nazario,Union Berlin,Mad,2,1,ENDED
07/03/2023 18:15,S.C Freiburg,Cantona,Bayern München,Nasmi,2,2,ENDED
07/03/2023 18:00,Leipzig,Danny,Bayern München,Nasmi,1,1,ENDED
07/03/2023 18:00,S.C Freiburg,Cantona,Borussia Dortmund,Nazario,1,3,ENDED
07/03/2023 17:45,Union Berlin,Mad,Bayern München,Nasmi,3,1,ENDED
07/03/2023 17:45,S.C Freiburg,Cantona,Leipzig,Danny,0,0,ENDED
07/03/2023 17:30,Bayern München,Nasmi,Borussia Dortmund,Nazario,4,2,ENDED
07/03/2023 17:30,Union Berlin,Mad,Leipzig,Danny,2,3,ENDED
07/03/2023 17:15,OGC Nice,Danny,West Ham,Nazario,3,2,ENDED
07/03/2023 17:15,Villarreal,Mad,Sivasspor,Cantona,3,1,ENDED
07/03/2023 17:00,Villarreal,Mad,West Ham,Nazario,4,1,ENDED
07/03/2023 17:00,Fiorentina,Nasmi,Sivasspor,Cantona,5,3,ENDED
07/03/2023 16:45,Fiorentina,Nasmi,OGC Nice,Danny,1,2,ENDED
07/03/2023 16:45,West Ham,Nazario,Sivasspor,Cantona,4,2,ENDED
07/03/2023 16:30,Fiorentina,Nasmi,Villarreal,Mad,0,3,ENDED
07/03/2023 16:30,OGC Nice,Danny,Sivasspor,Cantona,2,1,ENDED
07/03/2023 16:15,West Ham,Nazario,Fiorentina,Nasmi,1,3,ENDED
07/03/2023 16:15,OGC Nice,Danny,Villarreal,Mad,0,3,ENDED
07/03/2023 16:00,West Ham,Nazario,OGC Nice,Danny,2,4,ENDED
07/03/2023 16:00,Sivasspor,Cantona,Villarreal,Mad,2,1,ENDED
07/03/2023 15:45,West Ham,Nazario,Villarreal,Mad,0,2,ENDED
07/03/2023 15:45,Sivasspor,Cantona,Fiorentina,Nasmi,1,4,ENDED
07/03/2023 15:30,OGC Nice,Danny,Fiorentina,Nasmi,4,2,ENDED
07/03/2023 15:30,Sivasspor,Cantona,West Ham,Nazario,0,2,ENDED
07/03/2023 15:15,Villarreal,Mad,Fiorentina,Nasmi,5,3,ENDED
07/03/2023 15:15,Sivasspor,Cantona,OGC Nice,Danny,2,2,ENDED
07/03/2023 15:00,Fiorentina,Nasmi,West Ham,Nazario,2,6,ENDED
07/03/2023 15:00,Villarreal,Mad,OGC Nice,Danny,0,3,ENDED
07/03/2023 14:30,Real Madrid,Nio,Liverpool,billiot,5,3,ENDED
07/03/2023 14:30,PSG,Cliff,Bayern München,Pipis,3,4,ENDED
07/03/2023 14:15,PSG,Cliff,Liverpool,billiot,2,0,ENDED
07/03/2023 14:15,Manchester City,Votepeace,Bayern München,Pipis,1,2,ENDED
07/03/2023 14:00,Manchester City,Votepeace,Real Madrid,Nio,2,3,ENDED
07/03/2023 14:00,Liverpool,billiot,Bayern München,Pipis,3,3,ENDED
07/03/2023 13:45,Manchester City,Votepeace,PSG,Cliff,4,2,ENDED
07/03/2023 13:45,Real Madrid,Nio,Bayern München,Pipis,1,3,ENDED
07/03/2023 13:30,Liverpool,billiot,Manchester City,Votepeace,3,1,ENDED
07/03/2023 13:30,Real Madrid,Nio,PSG,Cliff,4,3,ENDED
07/03/2023 13:15,Liverpool,billiot,Real Madrid,Nio,5,3,ENDED
07/03/2023 13:15,Bayern München,Pipis,PSG,Cliff,2,0,ENDED
07/03/2023 13:00,Liverpool,billiot,PSG,Cliff,2,1,ENDED
07/03/2023 13:00,Bayern München,Pipis,Manchester City,Votepeace,6,3,ENDED
07/03/2023 12:45,Real Madrid,Nio,Manchester City,Votepeace,2,1,ENDED
07/03/2023 12:45,Bayern München,Pipis,Liverpool,billiot,4,4,ENDED
07/03/2023 12:30,PSG,Cliff,Manchester City,Votepeace,6,5,ENDED
07/03/2023 12:30,Bayern München,Pipis,Real Madrid,Nio,1,0,ENDED
07/03/2023 12:15,Manchester City,Votepeace,Liverpool,billiot,5,3,ENDED
