Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
13/02/2023 23:45,Ajax Amsterdam,General,S.C Freiburg,Gorilla,1,4,ENDED
13/02/2023 23:45,Juventus Turin,Carnage,FC Barcelona,tommy,2,2,ENDED
13/02/2023 23:30,Manchester United,Rafa,FC Barcelona,tommy,0,5,ENDED
13/02/2023 23:30,Juventus Turin,Carnage,Ajax Amsterdam,General,2,2,ENDED
13/02/2023 23:15,S.C Freiburg,Gorilla,FC Barcelona,tommy,2,4,ENDED
13/02/2023 23:15,Juventus Turin,Carnage,Manchester United,Rafa,0,2,ENDED
13/02/2023 23:00,FC Barcelona,tommy,Ajax Amsterdam,General,1,1,ENDED
13/02/2023 23:00,S.C Freiburg,Gorilla,Manchester United,Rafa,3,1,ENDED
13/02/2023 22:30,Lazio,Danny,Inter Milan,Mad,0,3,ENDED
13/02/2023 22:30,SSC Napoli,Krouks,AC Milan,Nero,2,4,ENDED
13/02/2023 22:15,SSC Napoli,Krouks,Inter Milan,Mad,4,4,ENDED
13/02/2023 22:15,Roma,Tyson,AC Milan,Nero,1,6,ENDED
13/02/2023 22:00,Roma,Tyson,Lazio,Danny,4,3,ENDED
13/02/2023 22:00,Inter Milan,Mad,AC Milan,Nero,1,3,ENDED
13/02/2023 21:45,Roma,Tyson,SSC Napoli,Krouks,6,4,ENDED
13/02/2023 21:45,Lazio,Danny,AC Milan,Nero,1,1,ENDED
13/02/2023 21:30,Inter Milan,Mad,Roma,Tyson,4,1,ENDED
13/02/2023 21:30,Lazio,Danny,SSC Napoli,Krouks,3,5,ENDED
13/02/2023 21:15,Inter Milan,Mad,Lazio,Danny,5,0,ENDED
13/02/2023 21:15,AC Milan,Nero,SSC Napoli,Krouks,4,3,ENDED
13/02/2023 21:00,Inter Milan,Mad,SSC Napoli,Krouks,2,3,ENDED
13/02/2023 21:00,AC Milan,Nero,Roma,Tyson,3,5,ENDED
13/02/2023 20:45,Lazio,Danny,Roma,Tyson,0,2,ENDED
13/02/2023 20:45,AC Milan,Nero,Inter Milan,Mad,5,5,ENDED
13/02/2023 20:30,SSC Napoli,Krouks,Roma,Tyson,3,4,ENDED
13/02/2023 20:30,AC Milan,Nero,Lazio,Danny,4,2,ENDED
13/02/2023 20:15,Roma,Tyson,Inter Milan,Mad,5,1,ENDED
13/02/2023 20:15,SSC Napoli,Krouks,Lazio,Danny,7,6,ENDED
13/02/2023 20:00,Sporting C.P,Danny,Sevilla,Mad,4,0,ENDED
13/02/2023 20:00,Fenerbahce Istanbul,Krouks,Roma,Nero,4,5,ENDED
13/02/2023 19:45,Fenerbahce Istanbul,Krouks,Sevilla,Mad,4,2,ENDED
13/02/2023 19:45,Arsenal,Tyson,Roma,Nero,5,4,ENDED
13/02/2023 19:30,Arsenal,Tyson,Sporting C.P,Danny,2,1,ENDED
13/02/2023 19:30,Sevilla,Mad,Roma,Nero,0,3,ENDED
13/02/2023 19:15,Arsenal,Tyson,Fenerbahce Istanbul,Krouks,3,0,ENDED
13/02/2023 19:15,Sporting C.P,Danny,Roma,Nero,4,4,ENDED
13/02/2023 19:00,Sevilla,Mad,Arsenal,Tyson,1,5,ENDED
13/02/2023 19:00,Sporting C.P,Danny,Fenerbahce Istanbul,Krouks,4,4,ENDED
13/02/2023 18:30,Sevilla,Mad,Sporting C.P,Danny,2,3,ENDED
13/02/2023 18:30,Roma,Nero,Fenerbahce Istanbul,Krouks,7,2,ENDED
13/02/2023 18:15,Sevilla,Mad,Fenerbahce Istanbul,Krouks,3,1,ENDED
13/02/2023 18:15,Roma,Nero,Arsenal,Tyson,7,4,ENDED
13/02/2023 18:00,Sporting C.P,Danny,Arsenal,Tyson,1,3,ENDED
13/02/2023 18:00,Roma,Nero,Sevilla,Mad,3,3,ENDED
13/02/2023 17:45,Fenerbahce Istanbul,Krouks,Arsenal,Tyson,4,3,ENDED
13/02/2023 17:45,Roma,Nero,Sporting C.P,Danny,4,4,ENDED
13/02/2023 17:30,Arsenal,Tyson,Sevilla,Mad,2,3,ENDED
13/02/2023 17:30,Fenerbahce Istanbul,Krouks,Sporting C.P,Danny,3,3,ENDED
13/02/2023 17:15,Borussia Dortmund,Danny,SSC Napoli,Mad,4,3,ENDED
13/02/2023 17:15,Chelsea,Krouks,Tottenham,Nero,1,6,ENDED
13/02/2023 17:00,Chelsea,Krouks,SSC Napoli,Mad,7,2,ENDED
13/02/2023 17:00,FC Porto,Tyson,Tottenham,Nero,2,0,ENDED
13/02/2023 16:45,FC Porto,Tyson,Borussia Dortmund,Danny,4,2,ENDED
13/02/2023 16:45,SSC Napoli,Mad,Tottenham,Nero,0,4,ENDED
13/02/2023 16:30,FC Porto,Tyson,Chelsea,Krouks,3,4,ENDED
13/02/2023 16:30,Borussia Dortmund,Danny,Tottenham,Nero,0,2,ENDED
13/02/2023 16:15,SSC Napoli,Mad,FC Porto,Tyson,3,6,ENDED
13/02/2023 16:15,Borussia Dortmund,Danny,Chelsea,Krouks,3,7,ENDED
13/02/2023 16:00,SSC Napoli,Mad,Borussia Dortmund,Danny,4,3,ENDED
13/02/2023 16:00,Tottenham,Nero,Chelsea,Krouks,4,2,ENDED
13/02/2023 15:45,SSC Napoli,Mad,Chelsea,Krouks,2,2,ENDED
13/02/2023 15:45,Tottenham,Nero,FC Porto,Tyson,3,5,ENDED
13/02/2023 15:30,Borussia Dortmund,Danny,FC Porto,Tyson,1,5,ENDED
13/02/2023 15:30,Tottenham,Nero,SSC Napoli,Mad,5,5,ENDED
