Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
20/04/2023 23:45,Bayern München,Seagal,Leipzig,Nasmi,2,3,ENDED
20/04/2023 23:45,Borussia Dortmund,Mars,S.C Freiburg,Magdy,1,2,ENDED
20/04/2023 23:30,Bayern München,Seagal,Union Berlin,Cantona,0,3,ENDED
20/04/2023 23:30,Leipzig,Nasmi,S.C Freiburg,Magdy,4,1,ENDED
20/04/2023 23:15,Borussia Dortmund,Mars,Bayern München,Seagal,1,1,ENDED
20/04/2023 23:15,Leipzig,Nasmi,Union Berlin,Cantona,1,6,ENDED
20/04/2023 23:00,Borussia Dortmund,Mars,Leipzig,Nasmi,2,3,ENDED
20/04/2023 23:00,S.C Freiburg,Magdy,Union Berlin,Cantona,4,2,ENDED
20/04/2023 22:45,Borussia Dortmund,Mars,Union Berlin,Cantona,1,1,ENDED
20/04/2023 22:45,S.C Freiburg,Magdy,Bayern München,Seagal,1,0,ENDED
20/04/2023 22:30,Leipzig,Nasmi,Bayern München,Seagal,3,1,ENDED
20/04/2023 22:30,S.C Freiburg,Magdy,Borussia Dortmund,Mars,2,3,ENDED
20/04/2023 22:15,Union Berlin,Cantona,Bayern München,Seagal,2,2,ENDED
20/04/2023 22:15,S.C Freiburg,Magdy,Leipzig,Nasmi,1,2,ENDED
20/04/2023 22:00,Bayern München,Seagal,Borussia Dortmund,Mars,0,4,ENDED
20/04/2023 22:00,Union Berlin,Cantona,Leipzig,Nasmi,1,0,ENDED
20/04/2023 21:30,SSC Napoli,Rafa,Real Madrid,Spex,1,0,ENDED
20/04/2023 21:30,Manchester City,Carnage,Bayern München,val,4,2,ENDED
20/04/2023 21:15,Manchester City,Carnage,Real Madrid,Spex,3,5,ENDED
20/04/2023 21:15,Benfica Lisbon,Nero,Bayern München,val,2,4,ENDED
20/04/2023 21:00,Benfica Lisbon,Nero,SSC Napoli,Rafa,4,5,ENDED
20/04/2023 21:00,Real Madrid,Spex,Bayern München,val,1,2,ENDED
20/04/2023 20:45,Benfica Lisbon,Nero,Manchester City,Carnage,6,3,ENDED
20/04/2023 20:45,SSC Napoli,Rafa,Bayern München,val,5,4,ENDED
20/04/2023 20:30,Real Madrid,Spex,Benfica Lisbon,Nero,6,2,ENDED
20/04/2023 20:30,SSC Napoli,Rafa,Manchester City,Carnage,3,2,ENDED
20/04/2023 20:15,Real Madrid,Spex,SSC Napoli,Rafa,1,0,ENDED
20/04/2023 20:15,Bayern München,val,Manchester City,Carnage,3,2,ENDED
20/04/2023 20:00,Real Madrid,Spex,Manchester City,Carnage,5,2,ENDED
20/04/2023 20:00,Bayern München,val,Benfica Lisbon,Nero,3,3,ENDED
20/04/2023 19:45,SSC Napoli,Rafa,Benfica Lisbon,Nero,5,2,ENDED
20/04/2023 19:45,Bayern München,val,Real Madrid,Spex,0,3,ENDED
20/04/2023 19:30,Manchester City,Carnage,Benfica Lisbon,Nero,2,0,ENDED
20/04/2023 19:30,Bayern München,val,SSC Napoli,Rafa,3,4,ENDED
20/04/2023 19:15,Benfica Lisbon,Nero,Real Madrid,Spex,1,1,ENDED
20/04/2023 19:15,Manchester City,Carnage,SSC Napoli,Rafa,2,2,ENDED
20/04/2023 19:00,FC Barcelona,Rafa,Real Sociedad,Spex,0,2,ENDED
20/04/2023 19:00,Real Betis,Carnage,Real Madrid,val,0,3,ENDED
20/04/2023 18:45,Real Betis,Carnage,Real Sociedad,Spex,3,3,ENDED
20/04/2023 18:45,Atletico Madrid,Nero,Real Madrid,val,1,2,ENDED
20/04/2023 18:30,Atletico Madrid,Nero,FC Barcelona,Rafa,3,2,ENDED
20/04/2023 18:30,Real Sociedad,Spex,Real Madrid,val,2,2,ENDED
20/04/2023 18:15,Atletico Madrid,Nero,Real Betis,Carnage,2,0,ENDED
20/04/2023 18:15,FC Barcelona,Rafa,Real Madrid,val,3,1,ENDED
20/04/2023 18:00,Real Sociedad,Spex,Atletico Madrid,Nero,3,2,ENDED
20/04/2023 18:00,FC Barcelona,Rafa,Real Betis,Carnage,3,2,ENDED
20/04/2023 17:30,Real Sociedad,Spex,FC Barcelona,Rafa,4,2,ENDED
20/04/2023 17:30,Real Madrid,val,Real Betis,Carnage,2,0,ENDED
20/04/2023 17:15,Real Sociedad,Spex,Real Betis,Carnage,1,2,ENDED
20/04/2023 17:15,Real Madrid,val,Atletico Madrid,Nero,6,3,ENDED
20/04/2023 17:00,FC Barcelona,Rafa,Atletico Madrid,Nero,5,1,ENDED
20/04/2023 17:00,Real Madrid,val,Real Sociedad,Spex,1,2,ENDED
20/04/2023 16:45,Real Betis,Carnage,Atletico Madrid,Nero,2,0,ENDED
20/04/2023 16:45,Real Madrid,val,FC Barcelona,Rafa,1,1,ENDED
20/04/2023 16:30,Atletico Madrid,Nero,Real Sociedad,Spex,1,7,ENDED
20/04/2023 16:30,Real Betis,Carnage,FC Barcelona,Rafa,1,0,ENDED
20/04/2023 16:15,Basel,Rafa,Kaa Gent,Spex,2,2,ENDED
20/04/2023 16:15,OGC Nice,Carnage,Fiorentina,val,3,2,ENDED
20/04/2023 16:00,OGC Nice,Carnage,Kaa Gent,Spex,3,3,ENDED
20/04/2023 16:00,West Ham,Nero,Fiorentina,val,4,4,ENDED
20/04/2023 15:45,West Ham,Nero,Basel,Rafa,1,0,ENDED
20/04/2023 15:45,Kaa Gent,Spex,Fiorentina,val,3,0,ENDED
20/04/2023 15:30,West Ham,Nero,OGC Nice,Carnage,2,3,ENDED
20/04/2023 15:30,Basel,Rafa,Fiorentina,val,1,3,ENDED
20/04/2023 15:15,Kaa Gent,Spex,West Ham,Nero,2,3,ENDED
20/04/2023 15:15,Basel,Rafa,OGC Nice,Carnage,1,3,ENDED
20/04/2023 15:00,Kaa Gent,Spex,Basel,Rafa,1,1,ENDED
20/04/2023 15:00,Fiorentina,val,OGC Nice,Carnage,2,3,ENDED
20/04/2023 14:45,Kaa Gent,Spex,OGC Nice,Carnage,1,2,ENDED
20/04/2023 14:45,Fiorentina,val,West Ham,Nero,3,2,ENDED
20/04/2023 14:30,Basel,Rafa,West Ham,Nero,2,2,ENDED
20/04/2023 14:30,Fiorentina,val,Kaa Gent,Spex,2,3,ENDED
20/04/2023 14:15,OGC Nice,Carnage,West Ham,Nero,2,2,ENDED
20/04/2023 14:15,Fiorentina,val,Basel,Rafa,2,5,ENDED
20/04/2023 14:00,West Ham,Nero,Kaa Gent,Spex,2,1,ENDED
20/04/2023 14:00,OGC Nice,Carnage,Basel,Rafa,2,3,ENDED
20/04/2023 13:30,Sporting C.P,General,Feyenord Rotterdam,Pipis,5,4,ENDED
