Fecha,Equipo Local,Jugador Local,Equipo Vista,Jugador Visita,Resultado Local,Resultado Visita,Estado
23/11/2022 23:45,Benfica Lisbon,Nazario,Borussia Dortmund,Moic,3,0,FORFEIT
23/11/2022 23:45,SSC Napoli,Nio,FC Barcelona,Nasmi,5,2,ENDED
23/11/2022 23:30,Benfica Lisbon,Nazario,FC Barcelona,Nasmi,2,4,ENDED
23/11/2022 23:30,SSC Napoli,Nio,Liverpool,Mars,4,2,ENDED
23/11/2022 23:15,Borussia Dortmund,Moic,Liverpool,Mars,0,3,FORFEIT
23/11/2022 23:15,SSC Napoli,Nio,Benfica Lisbon,Nazario,0,2,ENDED
23/11/2022 23:00,FC Barcelona,Nasmi,Liverpool,Mars,2,2,ENDED
23/11/2022 23:00,SSC Napoli,Nio,Borussia Dortmund,Moic,3,0,FORFEIT
23/11/2022 22:45,Liverpool,Mars,Benfica Lisbon,Nazario,3,1,ENDED
23/11/2022 22:45,FC Barcelona,Nasmi,Borussia Dortmund,Moic,3,0,FORFEIT
23/11/2022 22:15,Chelsea,JohnyBeGood,Manchester United,Danny,2,1,ENDED
23/11/2022 22:15,Liverpool,Mad,Arsenal,Krouks,4,2,ENDED
23/11/2022 22:00,Liverpool,Mad,Manchester United,Danny,1,4,ENDED
23/11/2022 22:00,Manchester City,Nero,Arsenal,Krouks,4,6,ENDED
23/11/2022 21:45,Manchester City,Nero,Chelsea,JohnyBeGood,3,2,ENDED
23/11/2022 21:45,Manchester United,Danny,Arsenal,Krouks,0,4,ENDED
23/11/2022 21:30,Manchester City,Nero,Liverpool,Mad,4,3,ENDED
23/11/2022 21:30,Chelsea,JohnyBeGood,Arsenal,Krouks,5,3,ENDED
23/11/2022 21:15,Manchester United,Danny,Manchester City,Nero,5,3,ENDED
23/11/2022 21:15,Chelsea,JohnyBeGood,Liverpool,Mad,1,2,ENDED
23/11/2022 21:00,Manchester United,Danny,Chelsea,JohnyBeGood,1,2,ENDED
23/11/2022 21:00,Arsenal,Krouks,Liverpool,Mad,5,2,ENDED
23/11/2022 20:45,Manchester United,Danny,Liverpool,Mad,2,5,ENDED
23/11/2022 20:45,Arsenal,Krouks,Manchester City,Nero,7,3,ENDED
23/11/2022 20:30,Chelsea,JohnyBeGood,Manchester City,Nero,1,2,ENDED
23/11/2022 20:30,Arsenal,Krouks,Manchester United,Danny,4,2,ENDED
23/11/2022 20:15,Liverpool,Mad,Manchester City,Nero,3,1,ENDED
23/11/2022 20:15,Arsenal,Krouks,Chelsea,JohnyBeGood,1,1,ENDED
23/11/2022 20:00,Manchester City,Nero,Manchester United,Danny,6,1,ENDED
23/11/2022 20:00,Liverpool,Mad,Chelsea,JohnyBeGood,1,3,ENDED
23/11/2022 19:45,Real Betis,JohnyBeGood,PSV Eindhoven,Danny,3,5,ENDED
23/11/2022 19:45,Manchester United,Mad,Fenerbahce Istanbul,Krouks,2,4,ENDED
23/11/2022 19:30,Manchester United,Mad,PSV Eindhoven,Danny,3,5,ENDED
23/11/2022 19:30,Roma,Nero,Fenerbahce Istanbul,Krouks,5,4,ENDED
23/11/2022 19:15,Roma,Nero,Real Betis,JohnyBeGood,4,0,ENDED
23/11/2022 19:15,PSV Eindhoven,Danny,Fenerbahce Istanbul,Krouks,3,3,ENDED
23/11/2022 19:00,Roma,Nero,Manchester United,Mad,2,2,ENDED
23/11/2022 19:00,Real Betis,JohnyBeGood,Fenerbahce Istanbul,Krouks,4,3,ENDED
23/11/2022 18:45,PSV Eindhoven,Danny,Roma,Nero,1,3,ENDED
23/11/2022 18:45,Real Betis,JohnyBeGood,Manchester United,Mad,1,2,ENDED
23/11/2022 18:30,PSV Eindhoven,Danny,Real Betis,JohnyBeGood,4,2,ENDED
23/11/2022 18:30,Fenerbahce Istanbul,Krouks,Manchester United,Mad,3,1,ENDED
23/11/2022 18:15,PSV Eindhoven,Danny,Manchester United,Mad,1,1,ENDED
23/11/2022 18:15,Fenerbahce Istanbul,Krouks,Roma,Nero,2,4,ENDED
23/11/2022 18:00,Real Betis,JohnyBeGood,Roma,Nero,3,2,ENDED
23/11/2022 18:00,Fenerbahce Istanbul,Krouks,PSV Eindhoven,Danny,5,1,ENDED
23/11/2022 17:45,Manchester United,Mad,Roma,Nero,3,1,ENDED
23/11/2022 17:45,Fenerbahce Istanbul,Krouks,Real Betis,JohnyBeGood,1,3,ENDED
23/11/2022 17:30,Roma,Nero,PSV Eindhoven,Danny,4,2,ENDED
23/11/2022 17:30,Manchester United,Mad,Real Betis,JohnyBeGood,1,1,ENDED
23/11/2022 17:15,Borussia Dortmund,JohnyBeGood,Benfica Lisbon,Danny,3,3,ENDED
23/11/2022 17:15,FC Barcelona,Mad,SSC Napoli,Krouks,1,3,ENDED
23/11/2022 17:00,FC Barcelona,Mad,Benfica Lisbon,Danny,3,4,ENDED
23/11/2022 17:00,Liverpool,Nero,SSC Napoli,Krouks,7,4,ENDED
23/11/2022 16:45,Liverpool,Nero,Borussia Dortmund,JohnyBeGood,3,2,ENDED
23/11/2022 16:45,Benfica Lisbon,Danny,SSC Napoli,Krouks,5,2,ENDED
23/11/2022 16:30,Liverpool,Nero,FC Barcelona,Mad,2,3,ENDED
23/11/2022 16:30,Borussia Dortmund,JohnyBeGood,SSC Napoli,Krouks,3,3,ENDED
23/11/2022 16:15,Benfica Lisbon,Danny,Liverpool,Nero,5,4,ENDED
23/11/2022 16:15,Borussia Dortmund,JohnyBeGood,FC Barcelona,Mad,0,0,ENDED
23/11/2022 16:00,Benfica Lisbon,Danny,Borussia Dortmund,JohnyBeGood,1,2,ENDED
23/11/2022 16:00,SSC Napoli,Krouks,FC Barcelona,Mad,1,3,ENDED
23/11/2022 15:45,Benfica Lisbon,Danny,FC Barcelona,Mad,0,1,ENDED
23/11/2022 15:45,SSC Napoli,Krouks,Liverpool,Nero,2,2,ENDED
23/11/2022 15:30,Borussia Dortmund,JohnyBeGood,Liverpool,Nero,3,3,ENDED
23/11/2022 15:30,SSC Napoli,Krouks,Benfica Lisbon,Danny,4,6,ENDED
23/11/2022 15:15,FC Barcelona,Mad,Liverpool,Nero,3,2,ENDED
23/11/2022 15:15,SSC Napoli,Krouks,Borussia Dortmund,JohnyBeGood,3,4,ENDED
23/11/2022 15:00,Liverpool,Nero,Benfica Lisbon,Danny,2,3,ENDED
23/11/2022 15:00,FC Barcelona,Mad,Borussia Dortmund,JohnyBeGood,3,4,ENDED
23/11/2022 14:30,Sevilla,val,Leipzig,Lio,3,1,ENDED
23/11/2022 14:30,FC Porto,Spex,Tottenham,Rafa,3,1,ENDED
23/11/2022 14:15,FC Porto,Spex,Leipzig,Lio,1,2,ENDED
23/11/2022 14:15,Inter Milan,tommy,Tottenham,Rafa,2,1,ENDED
23/11/2022 14:00,Inter Milan,tommy,Sevilla,val,2,2,ENDED
23/11/2022 14:00,Leipzig,Lio,Tottenham,Rafa,0,0,ENDED
23/11/2022 13:45,Inter Milan,tommy,FC Porto,Spex,1,1,ENDED
23/11/2022 13:45,Sevilla,val,Tottenham,Rafa,1,0,ENDED
23/11/2022 13:30,Leipzig,Lio,Inter Milan,tommy,3,3,ENDED
23/11/2022 13:30,Sevilla,val,FC Porto,Spex,1,4,ENDED
23/11/2022 13:15,Leipzig,Lio,Sevilla,val,2,2,ENDED
23/11/2022 13:15,Tottenham,Rafa,FC Porto,Spex,0,2,ENDED
23/11/2022 13:00,Leipzig,Lio,FC Porto,Spex,1,2,ENDED
23/11/2022 13:00,Tottenham,Rafa,Inter Milan,tommy,1,0,ENDED
23/11/2022 12:45,Sevilla,val,Inter Milan,tommy,2,1,ENDED
23/11/2022 12:45,Tottenham,Rafa,Leipzig,Lio,1,2,ENDED
23/11/2022 12:30,FC Porto,Spex,Inter Milan,tommy,1,0,ENDED
23/11/2022 12:30,Tottenham,Rafa,Sevilla,val,2,1,ENDED
23/11/2022 12:15,Inter Milan,tommy,Leipzig,Lio,3,2,ENDED
23/11/2022 12:15,FC Porto,Spex,Sevilla,val,2,0,ENDED
23/11/2022 11:30,Chelsea,val,Manchester United,Lio,0,1,ENDED
23/11/2022 11:30,Liverpool,Spex,Arsenal,Rafa,0,1,ENDED
23/11/2022 11:15,Liverpool,Spex,Manchester United,Lio,3,4,ENDED
23/11/2022 11:15,Manchester City,tommy,Arsenal,Rafa,1,1,ENDED
23/11/2022 11:00,Manchester City,tommy,Chelsea,val,3,3,ENDED
23/11/2022 11:00,Manchester United,Lio,Arsenal,Rafa,0,2,ENDED
23/11/2022 10:45,Manchester City,tommy,Liverpool,Spex,3,0,ENDED
23/11/2022 10:45,Chelsea,val,Arsenal,Rafa,2,1,ENDED
23/11/2022 10:30,Manchester United,Lio,Manchester City,tommy,3,1,ENDED
23/11/2022 10:30,Chelsea,val,Liverpool,Spex,2,2,ENDED
23/11/2022 10:15,Manchester United,Lio,Chelsea,val,0,1,ENDED
23/11/2022 10:15,Arsenal,Rafa,Liverpool,Spex,3,2,ENDED
23/11/2022 10:00,Manchester United,Lio,Liverpool,Spex,1,2,ENDED
23/11/2022 10:00,Arsenal,Rafa,Manchester City,tommy,2,0,ENDED
23/11/2022 09:45,Chelsea,val,Manchester City,tommy,2,1,ENDED
23/11/2022 09:45,Arsenal,Rafa,Manchester United,Lio,1,1,ENDED
23/11/2022 09:30,Liverpool,Spex,Manchester City,tommy,4,4,ENDED
23/11/2022 09:30,Arsenal,Rafa,Chelsea,val,1,2,ENDED
23/11/2022 09:15,Manchester City,tommy,Manchester United,Lio,1,0,ENDED
23/11/2022 09:15,Liverpool,Spex,Chelsea,val,0,2,ENDED
23/11/2022 08:30,Real Madrid,val,Juventus Turin,Lio,1,2,ENDED
23/11/2022 08:30,PSG,Spex,Manchester City,Rafa,3,1,ENDED
23/11/2022 08:15,PSG,Spex,Juventus Turin,Lio,2,2,ENDED
23/11/2022 08:15,Bayern München,tommy,Manchester City,Rafa,0,2,ENDED
23/11/2022 08:00,Bayern München,tommy,Real Madrid,val,3,1,ENDED
